30
0	 abc	 42	 0	 52	 94	 31.333334
1	 YUS	 64	 32	 98	 194	 64.666664
2	 WRM	 23	 28	 99	 150	 50.000000
3	 RNP	 95	 67	 85	 247	 82.333336
4	 ABO	 82	 93	 8	 183	 61.000000
5	 UPX	 18	 54	 9	 81	 27.000000
6	 PEA	 84	 95	 48	 227	 75.666664
7	 CTH	 71	 29	 60	 160	 53.333332
8	 VWG	 44	 62	 27	 133	 44.333332
9	 EXZ	 5	 6	 6	 17	 5.666667
10	 KZS	 56	 55	 12	 123	 41.000000
11	 TCH	 95	 72	 43	 210	 70.000000
12	 XGB	 82	 96	 11	 189	 63.000000
13	 SOB	 61	 58	 60	 179	 59.666668
14	 LLI	 90	 69	 36	 195	 65.000000
15	 ONH	 85	 44	 48	 177	 59.000000
16	 TOS	 78	 13	 4	 95	 31.666666
17	 CMR	 59	 24	 79	 162	 54.000000
18	 AYY	 2	 12	 90	 104	 34.666668
19	 EEW	 40	 11	 25	 76	 25.333334
20	 UVM	 31	 74	 7	 112	 37.333332
21	 HDL	 99	 18	 90	 207	 69.000000
22	 OTN	 14	 68	 38	 120	 40.000000
23	 AKQ	 46	 61	 38	 145	 48.333332
24	 JSX	 7	 9	 10	 26	 8.666667
25	 UQF	 76	 12	 41	 129	 43.000000
26	 NKL	 70	 0	 86	 156	 52.000000
27	 TYW	 22	 71	 67	 160	 53.333332
28	 FQO	 39	 15	 86	 140	 46.666668
29	 JUF	 70	 100	 12	 182	 60.666668
