30
0	 123	 50	 97	 58	 205	 68.333336
1	 BII	 37	 83	 96	 216	 72.000000
2	 UJN	 81	 24	 22	 127	 42.333332
3	 VUI	 97	 25	 62	 184	 61.333332
4	 RKJ	 30	 89	 40	 159	 53.000000
5	 NIP	 87	 79	 18	 184	 61.333332
6	 ZVF	 100	 85	 100	 285	 95.000000
7	 MKF	 81	 83	 93	 257	 85.666664
8	 RMR	 7	 15	 53	 75	 25.000000
9	 AVI	 45	 48	 48	 141	 47.000000
10	 RPV	 91	 91	 63	 245	 81.666664
11	 OPN	 93	 33	 11	 137	 45.666668
12	 XXM	 26	 31	 1	 58	 19.333334
13	 XMD	 64	 81	 41	 186	 62.000000
14	 EQX	 23	 36	 88	 147	 49.000000
15	 AYG	 27	 1	 19	 47	 15.666667
16	 NSI	 61	 27	 13	 101	 33.666668
17	 GNK	 66	 22	 66	 154	 51.333332
18	 PEO	 47	 35	 32	 114	 38.000000
19	 UZB	 46	 21	 5	 72	 24.000000
20	 NXT	 8	 0	 95	 103	 34.333332
21	 KBG	 46	 80	 15	 141	 47.000000
22	 NTR	 18	 34	 0	 52	 17.333334
23	 FUF	 53	 95	 84	 232	 77.333336
24	 HNW	 24	 69	 21	 114	 38.000000
25	 NMW	 63	 13	 27	 103	 34.333332
26	 XQL	 38	 80	 42	 160	 53.333332
27	 ZZL	 55	 48	 55	 158	 52.666668
28	 GRM	 82	 19	 92	 193	 64.333336
29	 XKD	 40	 49	 63	 152	 50.666668
